name,life_satisfaction_score_raw,life_satisfaction_score,happiness_score_raw,happiness_score,anxiety_score_raw,anxiety_score
Barking and Dagenham,7.3847,0.396469,7.5576,0.710547,5.1468,0.321849
Barnet,7.3763,0.384315,7.3718,0.412265,5.6111,0.623675
Bexley,7.4529,0.495153,7.4337,0.511639,5.5015,0.552428
Brent,7.6551,0.78773,7.6847,0.914593,4.7752,0.080283
Bromley,7.5492,0.634496,7.3952,0.449831,5.2098,0.362803
Camden,7.407,0.428737,7.3764,0.41965,5.8245,0.7624
Croydon,7.6114,0.724497,7.7001,0.939316,5.1712,0.33771
Ealing,7.4104,0.433656,7.4754,0.578584,5.8078,0.751544
Enfield,7.3157,0.296629,7.218,0.165356,5.2447,0.38549
Greenwich,7.4955,0.556794,7.209,0.150907,5.3165,0.432165
Hackney,7.4405,0.47721,7.3403,0.361695,5.5336,0.573295
Hammersmith and Fulham,7.7083,0.864708,7.5346,0.673623,5.7891,0.739388
Haringey,7.3035,0.278976,7.1783,0.101621,5.5601,0.590522
Harrow,7.4975,0.559687,7.5097,0.633649,4.6517,0.0
Havering,7.6281,0.748662,7.2736,0.254616,5.3476,0.452383
Hillingdon,7.6999,0.852554,7.5506,0.69931,5.4679,0.530586
Hounslow,7.7619,0.942266,7.5469,0.69337,5.3982,0.485276
Islington,7.4917,0.551295,7.2324,0.188473,5.6389,0.641747
Kensington and Chelsea,7.1107,0.0,7.3153,0.32156,6.0005,0.876812
Kingston upon Thames,7.7083,0.864708,7.5118,0.63702,5.1171,0.302542
Lambeth,7.1804,0.100854,7.115,0.0,6.066,0.919392
Lewisham,7.3993,0.417595,7.4373,0.517419,5.79,0.739973
Merton,7.8018,1.0,7.5258,0.659496,5.461,0.5261
Newham,7.4418,0.479091,7.4376,0.5179,5.5262,0.568485
Redbridge,7.4502,0.491246,7.3402,0.361535,5.3627,0.462199
Richmond upon Thames,7.7446,0.917233,7.4227,0.49398,5.7058,0.685237
Southwark,7.3172,0.298799,7.2543,0.223631,6.19,1.0
Sutton,7.7425,0.914195,7.628,0.823567,4.9453,0.19086
Tower Hamlets,7.4067,0.428303,7.7379,1.0,5.1533,0.326074
Waltham Forest,7.3868,0.399508,7.3911,0.443249,5.2585,0.394461
Wandsworth,7.5543,0.641875,7.4713,0.572002,5.5505,0.584281
Westminster,7.5879,0.690493,7.3171,0.32445,5.8439,0.775011
